date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:04:41	14241/14241	U-----	200	untouched ('')	image/png	date:Sun,%2006%20May%202018%2023:10:41%20GMT	https://lana.ws/ar/wp-content/uploads/sites/2/2018/05/client20.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/uploads/sites/2/2018/05/client20.png	(from https://lana.ws/ar/)
20:04:54	23641/-1	---M--	200	added ('OK')	text/html	date:Fri,%2020%20Dec%202019%2017:04:55%20GMT	https://lana.ws/ar/work/%d8%aa%d8%b7%d8%a8%d9%8a%d9%82-%d9%88%d8%a7%d8%b5%d9%84/	F:/DAZZLE/dprm/lana.ws/ar/work/%d8%aa%d8%b7%d8%a8%d9%8a%d9%82-%d9%88%d8%a7%d8%b5%d9%84/index.html	(from https://lana.ws/ar/)
20:05:08	37222/37222	U-----	200	untouched ('')	image/jpeg	date:Thu,%2021%20Mar%202019%2021:39:43%20GMT	https://lana.ws/ar/wp-content/uploads/sites/2/2019/03/04-2-e1553204383961-800x600.jpg	F:/DAZZLE/dprm/lana.ws/ar/wp-content/uploads/sites/2/2019/03/04-2-e1553204383961-800x600.jpg	(from https://lana.ws/ar/)
20:05:22	72531/72531	U-----	200	untouched ('')	image/jpeg	date:Wed,%2017%20Jul%202019%2023:04:12%20GMT	https://lana.ws/ar/wp-content/uploads/sites/2/2019/07/05-e1563404651820-800x600.jpg	F:/DAZZLE/dprm/lana.ws/ar/wp-content/uploads/sites/2/2019/07/05-e1563404651820-800x600.jpg	(from https://lana.ws/ar/)
20:05:24	26005/26005	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2020%20Dec%202019%2017:04:55%20GMT	https://lana.ws/ar/work/riviera-chalet-identity-building-our-brand/	F:/DAZZLE/dprm/lana.ws/ar/work/riviera-chalet-identity-building-our-brand/index.html	(from https://lana.ws/ar/)
20:05:24	22335/22335	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2020%20Dec%202019%2017:04:55%20GMT	https://lana.ws/ar/work/swadness-guidelines-identity-building-our-brand/	F:/DAZZLE/dprm/lana.ws/ar/work/swadness-guidelines-identity-building-our-brand/index.html	(from https://lana.ws/ar/)
20:05:40	22750/22750	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2020%20Dec%202019%2017:05:10%20GMT	https://lana.ws/ar/work/dcg-guidelines-identity-building-our-brand/	F:/DAZZLE/dprm/lana.ws/ar/work/dcg-guidelines-identity-building-our-brand/index.html	(from https://lana.ws/ar/)
20:05:48	48056/48056	U-----	200	untouched ('')	image/jpeg	date:Mon,%2025%20Mar%202019%2001:37:37%20GMT	https://lana.ws/ar/wp-content/uploads/sites/2/2019/03/01-7-e1553477856471-800x600.jpg	F:/DAZZLE/dprm/lana.ws/ar/wp-content/uploads/sites/2/2019/03/01-7-e1553477856471-800x600.jpg	(from https://lana.ws/ar/)
20:05:51	27080/27080	U-----	200	untouched ('')	image/jpeg	date:Sun,%2006%20May%202018%2023:11:12%20GMT	https://lana.ws/ar/wp-content/uploads/sites/2/2018/05/maxresdefault-51-450x560.jpg	F:/DAZZLE/dprm/lana.ws/ar/wp-content/uploads/sites/2/2018/05/maxresdefault-51-450x560.jpg	(from https://lana.ws/ar/)
20:05:56	28295/28295	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2020%20Dec%202019%2017:05:26%20GMT	https://lana.ws/ar/work/	F:/DAZZLE/dprm/lana.ws/ar/work/index.html	(from https://lana.ws/ar/)
